,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Brazil,Brazil,GPE,0.04824569,0.66583220,en,119.70000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Portugal,Portugal,GPE,0.07412728,0.54457415,en,85.50000000,4046843-4,2264397,A,39.69450000,-8.13057000,EUROPE-AFRICA,Portugal,MED
São Paulo,São Paulo,GPE,-0.07985670,0.56324199,en,61.80000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
South,South,LOC,-0.11978496,0.60292973,en,56.60000000,,11887752,L,33.45876000,-90.15081000,NORTH-AMERICA,United States,CNA
Southeast,Southeast,LOC,-0.16458739,0.67181370,en,32.70000000,,11497301,L,10.75053000,106.75050000,ASIA,Vietnam,SEA
Europe,Europe,LOC,0.14352040,0.73731391,en,24.00000000,,0,,,,,,
Madeira,Madeira,GPE,-0.06574109,0.36134884,en,23.90000000,4299432-9,2267827,P,32.66568000,-16.92547000,ATLANTIC,Portugal,NAO
Porto,Porto,GPE,0.08531189,0.49665440,en,20.80000000,4046838-0,2735943,P,41.14850000,-8.61097000,EUROPE-AFRICA,Portugal,MED
Leiria,Leiria,GPE,0.09826268,0.47134722,en,20.30000000,4258716-5,2267095,P,39.74362000,-8.80705000,EUROPE-AFRICA,Portugal,MED
SP,SP,GPE,0.04391261,0.34921692,en,19.80000000,,0,,,,,,
North,North,LOC,-0.14449655,0.75314494,en,18.00000000,,12110879,L,42.74936000,-96.39971000,NORTH-AMERICA,United States,CNA
Coimbra,Coimbra,GPE,0.04594283,0.55664535,en,17.60000000,4010369-9,2740637,P,40.20564000,-8.41955000,EUROPE-AFRICA,Portugal,MED
Spain,Spain,GPE,0.12332916,0.47253551,en,17.10000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
