,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,25.89999999999999
Thursday,Thursday,DATE,,,en,12.2
2025,2025,DATE,,,en,10.400000000000002
Sunday,Sunday,DATE,,,en,9.600000000000001
Monday,Monday,DATE,,,en,9.100000000000001
two,two,CARDINAL,,,en,8.700000000000001
second,second,ORDINAL,,,en,8.299999999999999
the weekend,the weekend,DATE,,,en,7.4
this Friday,this Friday,DATE,,,en,7.1000000000000005
five,five,CARDINAL,,,en,7.0
Tuesday,Tuesday,DATE,,,en,6.8999999999999995
three,three,CARDINAL,,,en,6.2
Friday,Friday,DATE,,,en,5.8
Wednesday,Wednesday,DATE,,,en,5.8
February,February,DATE,,,en,5.5
Saturday,Saturday,DATE,,,en,5.4
one,one,CARDINAL,,,en,5.300000000000001
afternoon,afternoon,TIME,,,en,5.1
5,5,CARDINAL,,,en,4.9
2023,2023,DATE,,,en,4.8
daily,daily,DATE,,,en,4.6
four,four,CARDINAL,,,en,4.5
December,December,DATE,,,en,4.4
November,November,DATE,,,en,4.4
Brazilian,Brazilian,NORP,,,en,4.4
seven,seven,CARDINAL,,,en,4.4
the day,the day,DATE,,,en,4.3
today,today,DATE,,,en,4.1
2024,2024,DATE,,,en,4.0
third,third,ORDINAL,,,en,3.8
New Year's Eve,New Year's Eve,EVENT,,,en,3.6999999999999997
Portuguese,Portuguese,NORP,,,en,3.6999999999999993
October,October,DATE,,,en,3.6
10,10,CARDINAL,,,en,3.6
1931,1931,DATE,,,en,3.6
Six,Six,CARDINAL,,,en,3.5999999999999996
15,15,CARDINAL,,,en,3.5
Five,Five,CARDINAL,,,en,3.4000000000000004
2000,2000,DATE,,,en,3.3
winter,winter,DATE,,,en,3.1000000000000005
Winter,Winter,DATE,,,en,2.9000000000000004
2026,2026,DATE,,,en,2.9000000000000004
12,12,CARDINAL,,,en,2.9
European,European,NORP,,,en,2.9
this Sunday,this Sunday,DATE,,,en,2.8
this Wednesday,this Wednesday,DATE,,,en,2.8
this Tuesday,this Tuesday,DATE,,,en,2.8
99,99,CARDINAL,,,en,2.8
hours,hours,TIME,,,en,2.8
10/12,10/12,CARDINAL,,,en,2.8
the week,the week,DATE,,,en,2.8
Christmas Eve and Christmas,Christmas Eve and Christmas,DATE,,,en,2.7
this week,this week,DATE,,,en,2.7
7,7,CARDINAL,,,en,2.6
every day,every day,DATE,,,en,2.6
30,30,CARDINAL,,,en,2.5999999999999996
Eastern,Eastern,NORP,,,en,2.5999999999999996
Americans,Americans,NORP,,,en,2.4999999999999996
300,300,CARDINAL,,,en,2.4
the century,the century,DATE,,,en,2.4
The week,The week,DATE,,,en,2.4
Christmas,Christmas,DATE,,,en,2.3000000000000003
this Thursday,this Thursday,DATE,,,en,2.3
hundreds,hundreds,CARDINAL,,,en,2.2
this Monday,this Monday,DATE,,,en,2.2
dozens,dozens,CARDINAL,,,en,2.1
the next few days,the next few days,DATE,,,en,2.1
80%,80%,PERCENT,,,en,2.1
2,2,CARDINAL,,,en,2.0
18,18,CARDINAL,,,en,2.0
The year 2025,The year 2025,DATE,,,en,2.0
morning,morning,TIME,,,en,1.9
this weekend,this weekend,DATE,,,en,1.9
First,First,ORDINAL,,,en,1.9
two days,two days,DATE,,,en,1.9
