,phrase,label,sentiment,subjectivity,language,count
Storm Kristin,Storm Kristin,PERSON,0.15304487179487178,0.4006410256410255,en,10.400000000000002
Rio Grande,Rio Grande,PERSON,-0.008855932203389831,0.5277118644067796,en,5.9
Castelo Branco,Castelo Branco,PERSON,-0.03780864197530862,0.3958333333333333,en,5.4
Serra da Estrela,Serra da Estrela,PERSON,0.24308300395256918,0.4189723320158103,en,4.6
Depression Kristin,Depression Kristin,PERSON,0.15003501400560226,0.7349147992530346,en,3.4
Porto Alegre,Porto Alegre,PERSON,-0.08064516129032258,0.7983870967741935,en,3.1
Bia Kicis,Bia Kicis,PERSON,0.0,0.0,en,3.1
Skara Brae,Skara Brae,PERSON,0.05952380952380954,0.5952380952380952,en,2.8
Vila Real,Vila Real,PERSON,0.1553030303030303,0.3531468531468531,en,2.6
São Miguel,São Miguel,PERSON,-0.054487179487179495,0.16987179487179488,en,2.5999999999999996
Catraca Livre,Catraca Livre,PERSON,0.23011363636363638,0.6250000000000001,en,2.1999999999999997
Flores da Cunha,Flores da Cunha,PERSON,0.0,0.0,en,1.9
Rui Cardoso,Rui Cardoso,PERSON,0.09722222222222221,0.18055555555555555,en,1.8
José Sócrates,José Sócrates,PERSON,-0.12655971479500894,0.9474153297682708,en,1.7000000000000002
Saul Tourinho Leal,Saul Tourinho Leal,PERSON,0.0,0.0,en,1.7
Ricardo Ventura,Ricardo Ventura,PERSON,-0.6,0.7692307692307692,en,1.3
Gaby Amarantos,Gaby Amarantos,PERSON,-0.05494505494505494,0.35714285714285715,en,1.3
Ferreira Scuotto,Ferreira Scuotto,PERSON,0.15734265734265732,0.6783216783216783,en,1.3
Enel SP,Enel SP,PERSON,-0.04807692307692307,0.5608974358974359,en,1.3
Moon Enceladus,Moon Enceladus,PERSON,0.1923076923076923,0.2564102564102564,en,1.3
Sabrina Sato,Sabrina Sato,PERSON,0.0,0.0,en,1.3
Aston Martin Valhalla,Aston Martin Valhalla,PERSON,0.0,0.0,en,1.3
